id,genus,name_german,name_original,treetop_diam,tree_height,year_of_planting,license,credits
"3247352",Populus,Balsam-Pappel,Populus balsamifera,"8","27","1966",Deutschland Namensnennung 2.0,Land Berlin
"3247363",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"3","5","2006",Deutschland Namensnennung 2.0,Land Berlin
"3247392",Corylus,Baum-Hasel,Corylus colurna,"2.5","7","2001",Deutschland Namensnennung 2.0,Land Berlin
"3247406",Populus,Simons Pappel,Populus simonii,"5","17","1965",Deutschland Namensnennung 2.0,Land Berlin
"3247409",Tilia,Winter-Linde,Tilia cordata,"6","12","1965",Deutschland Namensnennung 2.0,Land Berlin
"3247426",Acer,Berg-Ahorn,Acer pseudoplatanus,"5","12",,Deutschland Namensnennung 2.0,Land Berlin
"3247433",Liquidambar,Amerikanischer Amberbaum,Liquidambar styraciflua,"2","4","2011",Deutschland Namensnennung 2.0,Land Berlin
"3247442",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"3","7","2000",Deutschland Namensnennung 2.0,Land Berlin
"3247479",Tilia,Winter-Linde 'Dilia',Tilia intermedia,"5","12","1980",Deutschland Namensnennung 2.0,Land Berlin
"3247488",Acer,Spitz-Ahorn,Acer platanoides,"8","17","1950",Deutschland Namensnennung 2.0,Land Berlin
"3247495",Corylus,Baum-Hasel,Corylus colurna,"1","3","2011",Deutschland Namensnennung 2.0,Land Berlin
"3247500",Acer,Silber-Ahorn,Acer saccharinum,"8","12","1930",Deutschland Namensnennung 2.0,Land Berlin
"3247504",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,"8","17","1970",Deutschland Namensnennung 2.0,Land Berlin
"3247505",Acer,Spitz-Ahorn,Acer platanoides,"6","7","1990",Deutschland Namensnennung 2.0,Land Berlin
"3247514",Acer,Spitz-Ahorn,Acer platanoides,"1.5","5","2000",Deutschland Namensnennung 2.0,Land Berlin
"3247520",Populus,,Populus spec.,"6","13","1985",Deutschland Namensnennung 2.0,Land Berlin
"3247536",Fraxinus,Gewöhnliche Esche,Fraxinus excelsior,"5","10","1989",Deutschland Namensnennung 2.0,Land Berlin
"3247537",Grewia,,Ginkgo biloba,"1","3","2013",Deutschland Namensnennung 2.0,Land Berlin
"3247591",Tilia,Winter-Linde,Tilia cordata,"4","7","2004",Deutschland Namensnennung 2.0,Land Berlin
